epidemiological_week,date,order_for_place,state,city,city_ibge_code,place_type,last_available_confirmed,last_available_confirmed_per_100k_inhabitants,new_confirmed,last_available_deaths,new_deaths,last_available_death_rate,estimated_population,is_last,is_repeated
202134,2021-08-27,528,TO,Palmas,1721000,city,49899,16291.10403,0,617,0,0.0124,306296,False,True
202134,2021-08-26,527,TO,Palmas,1721000,city,49899,16291.10403,0,617,0,0.0124,306296,False,True
202134,2021-08-25,526,TO,Palmas,1721000,city,49899,16291.10403,0,617,0,0.0124,306296,False,True
202134,2021-08-24,525,TO,Palmas,1721000,city,49899,16291.10403,83,617,0,0.0124,306296,True,False
202134,2021-08-23,524,TO,Palmas,1721000,city,49816,16264.00606,321,617,0,0.0124,306296,False,False
202134,2021-08-22,523,TO,Palmas,1721000,city,49495,16159.20547,0,617,0,0.0125,306296,False,True
202133,2021-08-21,522,TO,Palmas,1721000,city,49495,16159.20547,0,617,0,0.0125,306296,False,True
202133,2021-08-20,521,TO,Palmas,1721000,city,49495,16159.20547,0,617,0,0.0125,306296,False,True
202133,2021-08-19,520,TO,Palmas,1721000,city,49495,16159.20547,64,617,2,0.0125,306296,False,False
202133,2021-08-18,519,TO,Palmas,1721000,city,49431,16138.31065,73,615,0,0.0124,306296,False,False
202133,2021-08-17,518,TO,Palmas,1721000,city,49358,16114.4775,67,615,1,0.0125,306296,False,False
202133,2021-08-16,517,TO,Palmas,1721000,city,49291,16092.60323,50,614,4,0.0125,306296,False,False
202133,2021-08-15,516,TO,Palmas,1721000,city,49241,16076.27915,35,610,0,0.0124,306296,False,False
202132,2021-08-14,515,TO,Palmas,1721000,city,49206,16064.8523,74,610,0,0.0124,306296,False,False
202132,2021-08-13,514,TO,Palmas,1721000,city,49132,16040.69266,83,610,1,0.0124,306296,False,False
202132,2021-08-12,513,TO,Palmas,1721000,city,49049,16013.59469,68,609,0,0.0124,306296,False,False
202132,2021-08-11,512,TO,Palmas,1721000,city,48981,15991.39395,61,609,1,0.0124,306296,False,False
